id,title,pdf_url,landing_page_url
https://openalex.org/W4367850749,A comparative study of the machine learning-based energy management system for hydrogen fuel cell electric vehicles,https://fupubco.com/futech/article/download/103/77/409,https://doi.org/10.55670/fpll.futech.3.1.2
https://openalex.org/W4386041549,A Hybrid Air Quality Prediction Model Based on Empirical Mode Decomposition,https://ieeexplore.ieee.org/ielx7/5971803/10225032/10225280.pdf,https://doi.org/10.26599/tst.2022.9010060
https://openalex.org/W4386535193,Semantic models and knowledge graphs as manufacturing system reconfiguration enablers,,https://doi.org/10.1016/j.rcim.2023.102625
https://openalex.org/W4384925568,What artificial intelligence can and cannot do (yet) in the scientific publishing world?,,https://doi.org/10.5546/aap.2023-10104.eng
https://openalex.org/W4388672898,Transforming weed management in sustainable agriculture with artificial intelligence: A systematic literature review towards weed identification and deep learning,,https://doi.org/10.1016/j.cropro.2023.106522
https://openalex.org/W4386688166,3DEG: Data-Driven Descriptor Extraction for Global re-localization in subterranean environments,,https://doi.org/10.1016/j.eswa.2023.121508
https://openalex.org/W4386041582,Malware Evasion Attacks Against IoT and Other Devices: An Empirical Study,https://ieeexplore.ieee.org/ielx7/5971803/10225032/10225279.pdf,https://doi.org/10.26599/tst.2023.9010005
https://openalex.org/W4388336411,Seeing the random forest through the decision trees. Supporting learning health systems from histopathology with machine learning models: Challenges and opportunities,,https://doi.org/10.1016/j.jpi.2023.100347
https://openalex.org/W4205408223,The Impact of Digital Health on Excellence in Health Care Organizations (A Field Study by Application onBaheyaFoundation for Early Detection &amp;Treatment of Breast Cancer),https://aja.journals.ekb.eg/article_209288_633edc4d08bc4791b09424d8a6d4163e.pdf,https://doi.org/10.21608/aja.2021.95987.1156
https://openalex.org/W4386841215,SurvLIMEpy: A Python package implementing SurvLIME,,https://doi.org/10.1016/j.eswa.2023.121620
https://openalex.org/W4387709413,A fundamental diagram based hybrid framework for traffic flow estimation and prediction by combining a Markovian model with deep learning,,https://doi.org/10.1016/j.eswa.2023.122219
https://openalex.org/W4361301341,Axes of transformation towards Blockchain technology in Islamic financial institutions,,https://doi.org/10.36772/arid.aijssh.2024.6112
https://openalex.org/W4387860520,Moonshots and last miles: what it may take to treat infertility for all,http://www.rbmojournal.com/article/S1472648323007411/pdf,https://doi.org/10.1016/j.rbmo.2023.103642
https://openalex.org/W4386041590,Lesson Learned from COVID-19 Retrospective Study: An Entropy-Based Clinical-Interpretable Scorecard for Mortality Risk Control at ICU Admission,https://ieeexplore.ieee.org/ielx7/5971803/10225032/10225293.pdf,https://doi.org/10.26599/tst.2023.9010042
https://openalex.org/W4376225929,The metaverse in the world of health: The present future. Challenges and opportunities,,https://doi.org/10.5546/aap.2022-02942.eng
